PASS 01-first-steps.js  clear t=3.6s deaths=0
PASS 02-loot-run.js  clear t=14.5s deaths=0
PASS 03-snake-corridor.js  clear t=12.3s deaths=1
PASS 04-coin-detour.js  clear t=5.0s deaths=0
PASS 05-checkpoint-gauntlet.js  clear t=6.8s deaths=0
PASS 06-crossfire.js  clear t=8.3s deaths=0
PASS 07-narrow-doors.js  clear t=6.1s deaths=0
PASS 08-ring-patrol.js  clear t=6.7s deaths=0
PASS 09-two-rooms.js  clear t=11.4s deaths=0
PASS 10-the-weave.js  clear t=5.7s deaths=0
PASS 100-century.js  clear t=9.8s deaths=0
PASS 101-piston.js  clear t=30.1s deaths=1
PASS 102-gatekeeper.js  clear t=8.1s deaths=0
PASS 103-shifting-maze.js  clear t=15.8s deaths=0
PASS 104-crush-course.js  clear t=11.6s deaths=0
PASS 105-key-press.js  clear t=20.5s deaths=0
PASS 106-conveyor.js  clear t=16.7s deaths=0
PASS 107-airlock.js  clear t=17.1s deaths=2
PASS 108-piston-ii.js  clear t=8.0s deaths=0
PASS 109-vault-door.js  clear t=9.0s deaths=0
PASS 11-switchback.js  clear t=8.9s deaths=0
PASS 110-switchback-iii.js  clear t=46.6s deaths=0
PASS 111-portal-press.js  clear t=12.7s deaths=0
PASS 112-crush-vault.js  clear t=16.9s deaths=1
PASS 113-tempo-walls.js  clear t=16.3s deaths=0
PASS 114-gauntlet-iii.js  clear t=16.8s deaths=0
PASS 12-pincer.js  clear t=9.0s deaths=0
PASS 13-coin-vault.js  clear t=7.7s deaths=0
PASS 14-fast-lanes.js  clear t=22.0s deaths=1
PASS 15-maze-lite.js  clear t=28.9s deaths=0
PASS 16-phase-shift.js  clear t=5.7s deaths=0
PASS 17-gauntlet-ii.js  clear t=10.9s deaths=0
PASS 18-diagonal.js  clear t=7.5s deaths=0
PASS 19-the-squeeze.js  clear t=22.9s deaths=0
PASS 20-halfway.js  clear t=18.8s deaths=0
PASS 21-dot-storm.js  clear t=8.1s deaths=0
PASS 22-labyrinth.js  clear t=13.3s deaths=0
PASS 23-tempo.js  clear t=6.3s deaths=0
PASS 24-no-room.js  clear t=23.4s deaths=1
PASS 25-long-haul.js  clear t=30.8s deaths=0
PASS 26-crossfire-ii.js  clear t=10.9s deaths=0
PASS 27-the-vault.js  clear t=17.0s deaths=0
PASS 28-marathon.js  clear t=27.9s deaths=1
PASS 29-panic.js  clear t=7.9s deaths=0
PASS 30-hardest.js  clear t=17.0s deaths=0
PASS 31-keymaster.js  clear t=12.8s deaths=0
PASS 32-shortcut.js  clear t=8.1s deaths=2
PASS 33-phase-portal.js  clear t=7.3s deaths=0
PASS 34-key-run.js  clear t=9.4s deaths=0
PASS 35-double-door.js  clear t=12.5s deaths=0
PASS 36-portal-maze.js  clear t=9.5s deaths=0
PASS 37-locked-vault.js  clear t=6.6s deaths=0
PASS 38-warp-lanes.js  clear t=6.6s deaths=0
PASS 39-key-gambit.js  clear t=9.0s deaths=0
PASS 40-halfway-ii.js  clear t=12.9s deaths=0
PASS 41-switchback-ii.js  clear t=6.4s deaths=0
PASS 42-door-cycle.js  clear t=12.0s deaths=0
PASS 43-portal-cross.js  clear t=7.5s deaths=1
PASS 44-key-hunt.js  clear t=10.2s deaths=0
PASS 45-twin-vaults.js  clear t=8.9s deaths=0
PASS 46-fast-lanes-ii.js  clear t=8.9s deaths=0
PASS 47-pad-chain.js  clear t=10.3s deaths=0
PASS 48-lockstep.js  clear t=9.7s deaths=0
PASS 49-squeeze-ii.js  clear t=9.7s deaths=0
PASS 50-exam-day.js  clear t=16.1s deaths=0
PASS 51-dot-storm-ii.js  clear t=8.9s deaths=0
PASS 52-portal-hell.js  clear t=5.4s deaths=0
PASS 53-keymaster-ii.js  clear t=14.7s deaths=0
PASS 54-warp-weave.js  clear t=6.4s deaths=0
PASS 55-vault-iii.js  clear t=22.0s deaths=0
PASS 56-no-room-ii.js  clear t=10.6s deaths=0
PASS 57-tempo-ii.js  clear t=10.6s deaths=0
PASS 58-panic-ii.js  clear t=7.9s deaths=0
PASS 59-labyrinth-ii.js  clear t=21.7s deaths=1
PASS 60-hardest-ii.js  clear t=69.4s deaths=0
PASS 61-inhuman.js  clear t=11.4s deaths=0
PASS 62-pad-roulette.js  clear t=14.2s deaths=0
PASS 63-key-largo.js  clear t=14.5s deaths=0
PASS 64-gauntlet-iii.js  clear t=17.6s deaths=1
PASS 65-portal-prison.js  clear t=7.4s deaths=0
PASS 66-lockdown.js  clear t=20.0s deaths=0
PASS 67-warp-storm.js  clear t=11.2s deaths=0
PASS 68-skeleton-key.js  clear t=11.4s deaths=0
PASS 69-crossfire-iii.js  clear t=8.0s deaths=0
PASS 70-seventy.js  clear t=11.6s deaths=0
