PASS DOM keyboard campaign 1/114: 3.58s, 0 deaths
PASS DOM keyboard campaign 2/114: 14.46s, 0 deaths
PASS DOM keyboard campaign 3/114: 12.34s, 1 deaths
PASS DOM keyboard campaign 4/114: 4.96s, 0 deaths
PASS DOM keyboard campaign 5/114: 6.84s, 0 deaths
PASS DOM keyboard campaign 6/114: 8.33s, 0 deaths
PASS DOM keyboard campaign 7/114: 6.05s, 0 deaths
PASS DOM keyboard campaign 8/114: 6.70s, 0 deaths
PASS DOM keyboard campaign 9/114: 11.38s, 0 deaths
PASS DOM keyboard campaign 10/114: 5.67s, 0 deaths
PASS DOM keyboard campaign 11/114: 8.86s, 0 deaths
PASS DOM keyboard campaign 12/114: 9.00s, 0 deaths
PASS DOM keyboard campaign 13/114: 7.74s, 0 deaths
PASS DOM keyboard campaign 14/114: 22.03s, 1 deaths
PASS DOM keyboard campaign 15/114: 28.92s, 0 deaths
PASS DOM keyboard campaign 16/114: 5.74s, 0 deaths
PASS DOM keyboard campaign 17/114: 10.91s, 0 deaths
PASS DOM keyboard campaign 18/114: 7.47s, 0 deaths
PASS DOM keyboard campaign 19/114: 22.94s, 0 deaths
PASS DOM keyboard campaign 20/114: 18.80s, 0 deaths
PASS DOM keyboard campaign 21/114: 8.13s, 0 deaths
PASS DOM keyboard campaign 22/114: 13.34s, 0 deaths
PASS DOM keyboard campaign 23/114: 6.34s, 0 deaths
PASS DOM keyboard campaign 24/114: 23.42s, 1 deaths
PASS DOM keyboard campaign 25/114: 30.79s, 0 deaths
PASS DOM keyboard campaign 26/114: 10.93s, 0 deaths
PASS DOM keyboard campaign 27/114: 17.01s, 0 deaths
PASS DOM keyboard campaign 28/114: 27.88s, 1 deaths
PASS DOM keyboard campaign 29/114: 7.86s, 0 deaths
PASS DOM keyboard campaign 30/114: 17.04s, 0 deaths
PASS DOM keyboard campaign 31/114: 12.84s, 0 deaths
PASS DOM keyboard campaign 32/114: 8.08s, 2 deaths
PASS DOM keyboard campaign 33/114: 7.33s, 0 deaths
PASS DOM keyboard campaign 34/114: 9.37s, 0 deaths
PASS DOM keyboard campaign 35/114: 12.55s, 0 deaths
PASS DOM keyboard campaign 36/114: 9.50s, 0 deaths
PASS DOM keyboard campaign 37/114: 6.65s, 0 deaths
PASS DOM keyboard campaign 38/114: 6.62s, 0 deaths
PASS DOM keyboard campaign 39/114: 9.01s, 0 deaths
PASS DOM keyboard campaign 40/114: 12.89s, 0 deaths
PASS DOM keyboard campaign 41/114: 6.43s, 0 deaths
PASS DOM keyboard campaign 42/114: 12.02s, 0 deaths
PASS DOM keyboard campaign 43/114: 7.54s, 1 deaths
PASS DOM keyboard campaign 44/114: 10.16s, 0 deaths
PASS DOM keyboard campaign 45/114: 8.88s, 0 deaths
PASS DOM keyboard campaign 46/114: 8.87s, 0 deaths
PASS DOM keyboard campaign 47/114: 10.28s, 0 deaths
PASS DOM keyboard campaign 48/114: 9.72s, 0 deaths
PASS DOM keyboard campaign 49/114: 9.73s, 0 deaths
PASS DOM keyboard campaign 50/114: 16.06s, 0 deaths
PASS DOM keyboard campaign 51/114: 8.87s, 0 deaths
PASS DOM keyboard campaign 52/114: 5.45s, 0 deaths
PASS DOM keyboard campaign 53/114: 14.67s, 0 deaths
PASS DOM keyboard campaign 54/114: 6.43s, 0 deaths
PASS DOM keyboard campaign 55/114: 22.04s, 0 deaths
PASS DOM keyboard campaign 56/114: 10.61s, 0 deaths
PASS DOM keyboard campaign 57/114: 10.64s, 0 deaths
PASS DOM keyboard campaign 58/114: 7.86s, 0 deaths
PASS DOM keyboard campaign 59/114: 21.67s, 1 deaths
PASS DOM keyboard campaign 60/114: 69.40s, 0 deaths
PASS DOM keyboard campaign 61/114: 11.37s, 0 deaths
PASS DOM keyboard campaign 62/114: 14.25s, 0 deaths
PASS DOM keyboard campaign 63/114: 14.50s, 0 deaths
PASS DOM keyboard campaign 64/114: 17.65s, 1 deaths
PASS DOM keyboard campaign 65/114: 7.40s, 0 deaths
PASS DOM keyboard campaign 66/114: 20.00s, 0 deaths
PASS DOM keyboard campaign 67/114: 11.22s, 0 deaths
PASS DOM keyboard campaign 68/114: 11.45s, 0 deaths
PASS DOM keyboard campaign 69/114: 7.99s, 0 deaths
PASS DOM keyboard campaign 70/114: 11.57s, 0 deaths
PASS DOM keyboard campaign 71/114: 11.71s, 0 deaths
PASS DOM keyboard campaign 72/114: 7.35s, 0 deaths
PASS DOM keyboard campaign 73/114: 21.15s, 1 deaths
PASS DOM keyboard campaign 74/114: 9.97s, 0 deaths
PASS DOM keyboard campaign 75/114: 18.21s, 0 deaths
PASS DOM keyboard campaign 76/114: 12.53s, 0 deaths
PASS DOM keyboard campaign 77/114: 9.33s, 0 deaths
PASS DOM keyboard campaign 78/114: 15.12s, 0 deaths
PASS DOM keyboard campaign 79/114: 6.16s, 0 deaths
PASS DOM keyboard campaign 80/114: 13.80s, 0 deaths
PASS DOM keyboard campaign 81/114: 13.05s, 0 deaths
PASS DOM keyboard campaign 82/114: 9.08s, 0 deaths
PASS DOM keyboard campaign 83/114: 12.27s, 0 deaths
PASS DOM keyboard campaign 84/114: 24.36s, 1 deaths
PASS DOM keyboard campaign 85/114: 12.76s, 0 deaths
PASS DOM keyboard campaign 86/114: 9.36s, 0 deaths
PASS DOM keyboard campaign 87/114: 12.88s, 0 deaths
PASS DOM keyboard campaign 88/114: 18.09s, 1 deaths
